Number of notes: 758

(<music21.note.Rest eighth>, 'rest', 'black')
(<music21.note.Note G>, 'P', 'blue')
(<music21.note.Note C>, 'P', 'blue')
(<music21.note.Note E>, 'P', 'blue')
(<music21.note.Note G>, 'P', 'blue')
(<music21.note.Note C>, 'P', 'blue')
(<music21.note.Note E>, 'P', 'blue')
(<music21.note.Rest eighth>, 'rest', 'black')
(<music21.note.Note G>, 'P', 'blue')
(<music21.note.Note C>, 'P', 'blue')
(<music21.note.Note E>, 'P', 'blue')
(<music21.note.Note G>, 'P', 'blue')
(<music21.note.Note C>, 'P', 'blue')
(<music21.note.Note E>, 'P', 'blue')
(<music21.note.Rest eighth>, 'rest', 'black')
(<music21.note.Note A>, 'P', 'blue')
(<music21.note.Note D>, 'P', 'blue')
(<music21.note.Note F>, 'P', 'blue')
(<music21.note.Note A>, 'P', 'blue')
(<music21.note.Note D>, 'P', 'blue')
(<music21.note.Note F>, 'P', 'blue')
(<music21.note.Rest eighth>, 'rest', 'black')
(<music21.note.Note A>, 'P', 'blue')
(<music21.note.Note D>, 'P', 'blue')
(<music21.note.Note F>, 'P', 'blue')
(<music21.note.Note A>, 'P', 'blue')
(<music21.note.Note D>, 'P', 'blue')
(<music21.note.Note F>, 'P', 'blue')
(<music21.note.Rest eighth>, 'rest', 'black')
(<music21.note.Note G>, 'P', 'blue')
(<music21.note.Note D>, 'P', 'blue')
(<music21.note.Note F>, 'P', 'blue')
(<music21.note.Note G>, 'P', 'blue')
(<music21.note.Note D>, 'P', 'blue')
(<music21.note.Note F>, 'P', 'blue')
(<music21.note.Rest eighth>, 'rest', 'black')
(<music21.note.Note G>, 'P', 'blue')
(<music21.note.Note D>, 'P', 'blue')
(<music21.note.Note F>, 'P', 'blue')
(<music21.note.Note G>, 'P', 'blue')
(<music21.note.Note D>, 'P', 'blue')
(<music21.note.Note F>, 'P', 'blue')
(<music21.note.Rest eighth>, 'rest', 'black')
(<music21.note.Note G>, 'P', 'blue')
(<music21.note.Note C>, 'P', 'blue')
(<music21.note.Note E>, 'P', 'blue')
(<music21.note.Note G>, 'P', 'blue')
(<music21.note.Note C>, 'P', 'blue')
(<music21.note.Note E>, 'P', 'blue')
(<music21.note.Rest eighth>, 'rest', 'black')
(<music21.note.Note G>, 'P', 'blue')
(<music21.note.Note C>, 'P', 'blue')
(<music21.note.Note E>, 'P', 'blue')
(<music21.note.Note G>, 'P', 'blue')
(<music21.note.Note C>, 'P', 'blue')
(<music21.note.Note E>, 'P', 'blue')
(<music21.note.Rest eighth>, 'rest', 'black')
(<music21.note.Note A>, 'P', 'blue')
(<music21.note.Note E>, 'P', 'blue')
(<music21.note.Note A>, 'P', 'blue')
(<music21.note.Note A>, 'P', 'blue')
(<music21.note.Note E>, 'P', 'blue')
(<music21.note.Note A>, 'P', 'blue')
(<music21.note.Rest eighth>, 'rest', 'black')
(<music21.note.Note A>, 'P', 'blue')
(<music21.note.Note E>, 'P', 'blue')
(<music21.note.Note A>, 'P', 'blue')
(<music21.note.Note A>, 'P', 'blue')
(<music21.note.Note E>, 'P', 'blue')
(<music21.note.Note A>, 'P', 'blue')
(<music21.note.Rest eighth>, 'rest', 'black')
(<music21.note.Note F#>, 'P', 'blue')
(<music21.note.Note A>, 'P', 'blue')
(<music21.note.Note D>, 'P', 'blue')
(<music21.note.Note F#>, 'P', 'blue')
(<music21.note.Note A>, 'P', 'blue')
(<music21.note.Note D>, 'P', 'blue')
(<music21.note.Rest eighth>, 'rest', 'black')
(<music21.note.Note F#>, 'P', 'blue')
(<music21.note.Note A>, 'P', 'blue')
(<music21.note.Note D>, 'P', 'blue')
(<music21.note.Note F#>, 'P', 'blue')
(<music21.note.Note A>, 'P', 'blue')
(<music21.note.Note D>, 'P', 'blue')
(<music21.note.Rest eighth>, 'rest', 'black')
